brand,name,cpu_brand,cpu,cpu_cores,cpu_threads,memory,storage,gpu_brand,gpu,price,rating,review_count,source,crawl_date
hp,HP 15s-fr5011TU Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),intel,core i5,10,12,16,512,intel,integrated,650.4819277108434,62,0,sohaibdevv,2026-09-05
asus,Asus Vivobook 16X 2023 K3605ZF-MB541WS Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),intel,core i5,8,12,16,512,nvidia,dedicated,770.9638554216867,72,0,sohaibdevv,2026-09-05
asus,Asus ROG Flow X13 GV301RC-LJ132WS Gaming Laptop (AMD Ryzen 9 6900HS/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),amd,ryzen 9,8,16,16,512,nvidia,dedicated,1368.3253012048192,77,0,sohaibdevv,2026-09-05
hp,HP Victus 15-fa1062TX Gaming Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 6GB Graph),intel,core i5,12,16,16,512,nvidia,dedicated,1069.879518072289,71,0,sohaibdevv,2026-09-05
hp,HP Victus 15-fb0150AX Gaming Laptop (AMD Ryzen 5 5600H/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),amd,ryzen 5,6,12,16,512,amd,dedicated,645.4216867469879,71,0,sohaibdevv,2026-09-05
hp,HP Omen 16-xf0060AX Gaming Laptop (AMD Ryzen 7 7840HS/ 16GB/ 1TB SSD/ Win11/ 8GB Graph),amd,ryzen 7,8,16,16,1024,nvidia,dedicated,1409.5180722891566,80,0,sohaibdevv,2026-09-05
hp,HP Victus 15-fa0555TX  Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),intel,core i5,8,12,16,512,nvidia,dedicated,853.1325301204819,71,0,sohaibdevv,2026-09-05
dell,Dell G15-5530 GN5530D83M6002ORB1 Gaming Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 6GB Graph),intel,core i5,10,16,16,512,nvidia,dedicated,979.3975903614457,71,0,sohaibdevv,2026-09-05
msi,MSI Modern 14 C11M-030IN Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home),intel,core i5,4,8,8,512,intel,integrated,433.13253012048193,58,0,sohaibdevv,2026-09-05
asus,Asus ROG Strix SCAR 16 2023 G634JZ-NM057WS Gaming Laptop (13th Gen Core i9/ 32GB/ 1TB SSD/ Win11 Home/ 12GB Graph),intel,core i9,24,32,32,1024,nvidia,dedicated,3252.89156626506,83,0,sohaibdevv,2026-09-05
msi,MSI Thin GF63 12VE-071IN Gaming Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/6GB Graphics),intel,core i5,8,12,16,512,nvidia,dedicated,843.2530120481928,70,0,sohaibdevv,2026-09-05
dell,Dell Vostro 3425 Laptop (AMD Ryzen 5 5625U/ 8GB/ 512GB SSD/ Win11 Home),amd,ryzen 5,6,12,8,512,amd,integrated,477.69879518072287,66,0,sohaibdevv,2026-09-05
infinix,Infinix INBook Y1 Plus 15 XL28 Laptop (10th Gen Core i5/ 8GB/ 512GB SSD/ Win 11 Home),intel,core i5,4,8,8,512,intel,integrated,361.32530120481925,54,0,sohaibdevv,2026-09-05
acer,Acer Aspire Lite AL15-52 Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11),intel,core i3,6,8,8,512,intel,integrated,397.4698795180723,58,0,sohaibdevv,2026-09-05
hp,HP Victus 16-s0095AX Gaming Laptop (AMD Ryzen 7 7840HS/ 16GB/ 512GB SSD/ Win11/ 6GB Graph),amd,ryzen 7,8,16,16,512,nvidia,dedicated,1007.1084337349398,76,0,sohaibdevv,2026-09-05
hp,HP Victus 15-FB1001AX Gaming Laptop (AMD Ryzen 5 7535HS/ 8GB/ 512GB SSD/ Win11/ 4GB Graph),amd,ryzen 5,6,12,8,512,nvidia,dedicated,656.5060240963855,70,0,sohaibdevv,2026-09-05
hp,HP 15s-eq2132AU Laptop (AMD Ryzen 5 5500U/ 16GB/ 512GB SSD/ Win11 Home),amd,ryzen 5,6,12,16,512,amd,integrated,512.0361445783133,63,0,sohaibdevv,2026-09-05
infinix,Infinix INBook X3 Slim XL422 2023 Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win 11 Home),intel,core i3,6,8,8,512,intel,integrated,337.2289156626506,50,0,sohaibdevv,2026-09-05
hp,HP Omen 16-u0005TX Gaming Laptop (13th Gen Core i7/ 16GB/ 1TB SSD/ Win11 Home/ 8GB Graph),intel,core i7,16,24,16,1024,nvidia,dedicated,1783.012048192771,80,0,sohaibdevv,2026-09-05
asus,Asus TUF Gaming F17 FX707ZC4-HX067W Gaming Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),intel,core i5,12,16,16,512,nvidia,dedicated,892.5903614457832,75,0,sohaibdevv,2026-09-05
dell,Dell Inspiron 5430 Laptop (13th Gen Core i7/ 16GB/ 1TB SSD/ Win11),intel,core i7,12,16,16,1024,intel,integrated,1042.0481927710844,66,0,sohaibdevv,2026-09-05
asus,Asus Vivobook 15 X1502ZA-EJ741WS Laptop (12th Gen Core i7/ 16GB/ 512GB SSD/ Win11),intel,core i7,10,16,16,512,intel,integrated,734.8192771084338,67,0,sohaibdevv,2026-09-05
lenovo,Lenovo Ideapad Gaming 3 82SB00NXIN Laptop (AMD Ryzen 5 7535HS/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),amd,ryzen 5,6,12,16,512,nvidia,dedicated,686.6265060240963,69,0,sohaibdevv,2026-09-05
dell,Dell Inspiron 5630 Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11),intel,core i5,12,16,16,512,intel,integrated,873.3734939759037,70,0,sohaibdevv,2026-09-05
asus,Asus VivoBook 14 X415EA-EK344WS Notebook (11th Gen Core i3/ 16GB/ 512GB SSD/ Win11 Home),intel,core i3,2,4,16,512,intel,integrated,433.6144578313253,64,0,sohaibdevv,2026-09-05
asus,Asus TUF Gaming F15 2023 FX507ZV-LP094W Gaming Laptop (12th Gen Core i7/ 16GB/512GB SSD/ Win11 Home/ 8GB Graph),intel,core i7,14,20,16,512,nvidia,dedicated,1313.132530120482,78,0,sohaibdevv,2026-09-05
asus,Asus TUF Gaming F15 FX506HF-HN025W Gaming Laptop (11th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),intel,core i5,6,12,16,512,nvidia,dedicated,698.6746987951807,72,0,sohaibdevv,2026-09-05
hp,HP Victus 15-fa0998TX Gaming Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),intel,core i5,8,12,16,512,nvidia,dedicated,843.3614457831326,72,0,sohaibdevv,2026-09-05
hp,HP Victus 15-fa0666TX Gaming Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),intel,core i5,8,12,16,512,nvidia,dedicated,867.3493975903615,65,0,sohaibdevv,2026-09-05
apple,Apple MacBook Air 15 2023 Laptop (Apple M2/ 8GB/ 256GB SSD/ MacOS),apple,m2,8,8,8,256,apple,apple,1445.6626506024097,53,0,sohaibdevv,2026-09-05
infinix,Infinix INBook Y1 Plus Neo XL30 Laptop (Intel Celeron N5100/ 8GB/ 512GB SSD/ Win 11 Home),intel,celeron,4,4,8,512,intel,integrated,325.1807228915663,53,0,sohaibdevv,2026-09-05
hp,HP Pavilion x360 14-ek1010TU Laptop (13th Gen Core i5/ 16GB/ 1TB SSD/ Win11),intel,core i5,10,12,16,1024,intel,integrated,938.5421686746988,70,0,sohaibdevv,2026-09-05
primebook,Primebook 4G Android Laptop (MediaTek Kompanio 500/ 4GB/ 64GB eMMC/ Android 11),other,other,8,0,4,64,arm,integrated,180.6024096385542,26,0,sohaibdevv,2026-09-05
dell,Dell Inspiron 3520 Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11),intel,core i5,10,12,8,512,intel,integrated,602.4096385542168,60,0,sohaibdevv,2026-09-05
acer,Acer Aspire 5 A515-57G UN.K9TSI.002 Gaming Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),intel,core i5,12,16,16,512,nvidia,dedicated,686.6265060240963,71,0,sohaibdevv,2026-09-05
hp,HP Victus 15-fa0070TX Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home/ 4GB Graph),intel,core i5,8,12,8,512,nvidia,dedicated,698.6746987951807,70,0,sohaibdevv,2026-09-05
hp,HP Victus 16-e0352AX Gaming Laptop (Ryzen 5-5600H/ 8GB/ 512GB SSD/ Win11/ 4GB Graph),amd,ryzen 5,6,12,8,512,nvidia,dedicated,602.3975903614457,70,0,sohaibdevv,2026-09-05
asus,Asus Vivobook S14 OLED S3402ZA-KM501WS Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),intel,core i5,12,16,16,512,intel,integrated,873.3734939759037,62,0,sohaibdevv,2026-09-05
asus,Asus Vivobook S15 OLED K3502ZA-L501WS Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11),intel,core i5,12,16,16,512,intel,integrated,839.6265060240963,64,0,sohaibdevv,2026-09-05
iball,iBall Excelance CompBook Laptop (AQC/ 2GB/ 32GB/Win10),intel,other,4,0,2,32,intel,integrated,118.07228915662651,41,0,sohaibdevv,2026-09-05
ultimus,Ultimus Lite NU14U3INC54BN Laptop (Celeron N4020/ 8GB/ 256GB SSD/ Win11 Home),intel,celeron,2,2,8,256,intel,integrated,192.65060240963857,46,0,sohaibdevv,2026-09-05
dell,Dell G15-5530 Gaming Laptop (13th Gen Core i5/ 16GB/ 1TB SSD/ Win11/ 6GB Graph),intel,core i5,10,16,16,1024,nvidia,dedicated,1011.9277108433735,72,0,sohaibdevv,2026-09-05
asus,Asus VivoBook 14 X1400EA-EK543WS Notebook (11th Gen Core i5/16GB/ 512GB SSD/ Win11 Home),intel,core i5,4,8,16,512,intel,integrated,566.144578313253,57,0,sohaibdevv,2026-09-05
hp,HP Pavilion 15-EG2119TU Laptop (12th Gen Core i5/12GB RAM/ 512GB SSD/ Win11),intel,core i5,12,16,12,512,intel,integrated,734.8192771084338,54,0,sohaibdevv,2026-09-05
lenovo,Lenovo IdeaPad Slim 3 82X60013IN Laptop (13th Gen Core i3/ 8GB/ 512GB SSD/ Win11),intel,core i3,5,6,8,512,intel,integrated,542.0481927710844,51,0,sohaibdevv,2026-09-05
lenovo,Lenovo ThinkBook 15 G5 21JF002JIN Laptop (AMD Ryzen 3 7330U/ 8 GB/ 512 GB SSD/ Win11),amd,ryzen 3,4,8,8,512,amd,integrated,421.56626506024094,66,0,sohaibdevv,2026-09-05
hp,HP Victus 15-fa1145TX Gaming Laptop (12th Gen Core i5/ 16GB/ 1TB SSD/ Win11 Home/ 4GB Graph),intel,core i5,8,12,16,1024,nvidia,dedicated,807.1084337349398,72,0,sohaibdevv,2026-09-05
lenovo,Lenovo V15 G4 Laptop (AMD Athlon Silver 7120U/ 8GB/ 512GB SSD/ Win11 Home),amd,other,2,2,8,512,amd,integrated,294.4578313253012,47,0,sohaibdevv,2026-09-05
hp,HP Victus 15-fb1002AX Gaming Laptop (AMD Ryzen 5 7535HS/ 8GB/ 512GB SSD/ Win11/ 4GB Graph),amd,ryzen 5,6,12,8,512,nvidia,dedicated,626.3855421686746,70,0,sohaibdevv,2026-09-05
msi,MSI Thin GF63 11SC-1629IN Gaming Laptop (11th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),intel,core i5,6,12,16,512,nvidia,dedicated,662.5301204819277,65,0,sohaibdevv,2026-09-05
ultimus,Ultimus Pro NU14U3INC43BN-CS Laptop (Celeron N4020/ 4GB/ 128GB SSD/ Win11 Home),intel,celeron,2,2,4,128,intel,integrated,144.4578313253012,41,0,sohaibdevv,2026-09-05
lenovo,Lenovo ThinkBook 15 G5 21JFA00BIN Laptop (AMD Ryzen 7 7730U/ 8 GB/ 512 GB SSD/ Win11),amd,ryzen 7,8,16,8,512,amd,integrated,590.2409638554217,70,0,sohaibdevv,2026-09-05
msi,MSI Katana 15 B13UDXK-1482IN Gaming Laptop (13th Gen Core i5/ 32GB/ 1TB SSD/ Win11 Home/ 6GB Graph),intel,core i5,12,16,32,1024,nvidia,dedicated,903.4939759036145,75,0,sohaibdevv,2026-09-05
msi,MSI Bravo 15 B7ED-012IN Gaming Laptop (AMD Ryzen 5 7535HS/ 8GB/ 512GB SSD/ Win11 Home/ 4GB Graph),amd,ryzen 5,6,12,8,512,amd,dedicated,602.289156626506,65,0,sohaibdevv,2026-09-05
asus,Asus Vivobook 15 X1502ZA-EJ544WS Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11),intel,core i5,12,16,16,512,intel,integrated,650.4819277108434,63,0,sohaibdevv,2026-09-05
asus,Asus Vivobook 16 2023 X1605VA-MB947WS Laptop (13th Gen Core i9/ 16GB/ 512GB SSD/ Win11 Home),intel,core i9,14,20,16,512,intel,integrated,984.2048192771084,71,0,sohaibdevv,2026-09-05
